ID caso,Año de los casos,Rango de edad de la víctima,Departamento,Mes,Tipo de violencia,Acciones preventivas,Autoidentificadores étnicos,Centro utilizado,Denuncia realizada,Estado de la denuncia
48,2019,0-5,Cusco,Julio,Violencia de género,Programas de educación indígena,Mestizo,Centro de Salud,Sí,En investigación
49,2020,55 o más,Lambayeque,Junio,Violencia doméstica,Asesoramiento legal,Quechua,CEM,No,-
50,2019,0-5,Moquegua,Diciembre,Violencia de pareja,Talleres de prevención,Mestizo,Línea 100,Sí,Pendiente
51,2023,55 o más,Lambayeque,Abril,Agresión sexual,Talleres de prevención,Mestizo,Centro de Salud,No,-
52,2018,35-44,San Martín,Julio,Violencia de pareja,Programas de educación indígena,Indígena amazónico,Línea 100,Sí,Cerrada
53,2021,35-44,Callao,Enero,Agresión sexual,Programas de educación indígena,Afrodescendiente,Centro de Salud,No,-
54,2023,55 o más,La Libertad,Mayo,Violencia de pareja,Talleres de prevención,Indígena amazónico,Centro de Salud,Sí,Cerrada
55,2020,35-44,Huancavelica,Junio,Agresión sexual,Atención psicológica,Indígena amazónico,Comisaria,No,-
56,2018,18-24,Ica,Octubre,Agresión sexual,Talleres de prevención,Quechua,Comisaria,Sí,Cerrada
57,2021,25-34,Ayacucho,Marzo,Violencia familiar,Talleres de prevención,Mestizo,Centro de Salud,No,-
58,2023,25-34,Ucayali,Agosto,Violencia familiar,Talleres de prevención,Afrodescendiente,Centro de Salud,No,-
59,2019,25-34,Arequipa,Septiembre,Violencia familiar,Talleres de prevención,Quechua,Comisaria,Sí,Cerrada
60,2018,25-34,Cajamarca,Marzo,Violencia familiar,Programas de educación indígena,Indígena amazónico,Centro de Salud,Sí,Cerrada
61,2020,6-11,Ucayali,Septiembre,Violencia de género,Talleres de prevención,Indígena amazónico,CEM,No,-
62,2021,25-34,Ayacucho,Junio,Violencia de género,Campañas de sensibilización,Indígena amazónico,Centro de Salud,Sí,Cerrada
63,2023,35-44,Tacna,Noviembre,Violencia doméstica,Atención psicológica,Blanco,Línea 100,No,-
64,2018,12-17,Amazonas,Enero,Violencia familiar,Asesoramiento legal,Indígena amazónico,Centro de Salud,No,-
65,2019,0-5,Amazonas,Septiembre,Violencia familiar,Programas de educación indígena,Blanco,CEM,Sí,En proceso
66,2020,18-24,Madre de Dios,Febrero,Violencia doméstica,Programas de educación indígena,Afrodescendiente,Comisaria,No,-
67,2019,55 o más,Moquegua,Julio,Violencia de género,Talleres de prevención,Afrodescendiente,Comisaria,No,-
68,2019,35-44,Moquegua,Marzo,Violencia de pareja,Programas de educación indígena,Indígena amazónico,Comisaria,No,-
69,2019,55 o más,Cajamarca,Diciembre,Agresión sexual,Talleres de prevención,Quechua,Línea 100,Sí,Cerrada
70,2021,12-17,Ucayali,Noviembre,Violencia familiar,Atención psicológica,Blanco,CEM,Sí,Pendiente
71,2020,35-44,Piura,Mayo,Agresión sexual,Talleres de prevención,Quechua,Comisaria,No,-
72,2019,0-5,Piura,Octubre,Violencia doméstica,Asesoramiento legal,Quechua,Línea 100,No,-
73,2019,6-11,San Martín,Diciembre,Violencia doméstica,Atención psicológica,Indígena amazónico,Comisaria,Sí,Cerrada
74,2022,6-11,Cajamarca,Febrero,Violencia familiar,Talleres de prevención,Indígena amazónico,Línea 100,No,-
75,2018,25-34,Apurimac,Junio,Violencia de pareja,Asesoramiento legal,Indígena amazónico,Comisaria,No,-
76,2022,45-54,Lima,Febrero,Violencia de género,Asesoramiento legal,Quechua,Centro de Salud,Sí,En proceso
77,2018,18-24,Cusco,Noviembre,Violencia doméstica,Atención psicológica,Mestizo,CEM,No,-
78,2022,35-44,Ica,Septiembre,Violencia de pareja,Campañas de sensibilización,Mestizo,Línea 100,Sí,En investigación
79,2019,12-17,Puno,Octubre,Agresión sexual,Campañas de sensibilización,Quechua,CEM,Sí,Pendiente
80,2022,35-44,Ica,Septiembre,Violencia doméstica,Talleres de prevención,Indígena amazónico,Centro de Salud,No,-
81,2022,45-54,Lima,Enero,Violencia de género,Asesoramiento legal,Afrodescendiente,CEM,Sí,En proceso
82,2020,0-5,Ayacucho,Octubre,Violencia de pareja,Programas de educación indígena,Mestizo,Centro de Salud,Sí,En investigación
83,2020,25-34,Arequipa,Febrero,Violencia familiar,Talleres de prevención,Afrodescendiente,Comisaria,Sí,Pendiente
84,2019,55 o más,Ayacucho,Septiembre,Violencia de género,Campañas de sensibilización,Quechua,Comisaria,No,-
85,2019,25-34,Callao,Mayo,Violencia familiar,Programas de educación indígena,Mestizo,Centro de Salud,No,-
86,2019,25-34,Moquegua,Junio,Violencia de pareja,Campañas de sensibilización,Indígena amazónico,CEM,No,-
87,2023,25-34,Madre de Dios,Diciembre,Violencia de pareja,Talleres de prevención,Indígena amazónico,Línea 100,Sí,Cerrada
88,2020,45-54,San Martín,Noviembre,Violencia de pareja,Campañas de sensibilización,Quechua,Línea 100,No,-
89,2021,55 o más,Pasco,Septiembre,Violencia familiar,Programas de educación indígena,Indígena amazónico,Comisaria,No,-
90,2022,0-5,Ancash,Enero,Violencia de género,Asesoramiento legal,Indígena amazónico,Comisaria,No,-
91,2023,45-54,Moquegua,Diciembre,Violencia familiar,Campañas de sensibilización,Indígena amazónico,Línea 100,No,-
92,2021,55 o más,Loreto,Noviembre,Violencia doméstica,Programas de educación indígena,Afrodescendiente,Comisaria,No,-
93,2019,0-5,Arequipa,Julio,Violencia familiar,Talleres de prevención,Quechua,Línea 100,Sí,En investigación
94,2019,35-44,Lima,Febrero,Violencia de género,Asesoramiento legal,Mestizo,Centro de Salud,Sí,Cerrada
95,2021,6-11,Puno,Agosto,Violencia doméstica,Talleres de prevención,Mestizo,Centro de Salud,No,-
96,2023,6-11,Arequipa,Mayo,Violencia de pareja,Talleres de prevención,Afrodescendiente,Centro de Salud,No,-
97,2023,12-17,Lima,Abril,Agresión sexual,Atención psicológica,Indígena amazónico,Centro de Salud,No,-
98,2023,55 o más,Pasco,Julio,Violencia doméstica,Talleres de prevención,Indígena amazónico,Comisaria,No,-
99,2019,18-24,Lima,Abril,Violencia de pareja,Programas de educación indígena,Mestizo,Línea 100,No,-
100,2023,12-17,Amazonas,Septiembre,Violencia de género,Talleres de prevención,Blanco,Centro de Salud,No,-
101,2018,25-34,Pasco,Abril,Agresión sexual,Atención psicológica,Indígena amazónico,Centro de Salud,Sí,Pendiente
102,2020,55 o más,Puno,Enero,Violencia de pareja,Campañas de sensibilización,Blanco,CEM,No,-
103,2021,12-17,Piura,Julio,Violencia de género,Campañas de sensibilización,Indígena amazónico,CEM,Sí,Cerrada
104,2020,0-5,Ica,Junio,Violencia de pareja,Asesoramiento legal,Quechua,Centro de Salud,Sí,Pendiente
105,2023,0-5,Callao,Junio,Violencia de género,Asesoramiento legal,Afrodescendiente,CEM,Sí,En proceso
106,2019,18-24,Ucayali,Febrero,Violencia familiar,Asesoramiento legal,Mestizo,CEM,No,-
107,2019,25-34,Ica,Agosto,Violencia de pareja,Atención psicológica,Quechua,Comisaria,No,-
108,2022,45-54,Loreto,Noviembre,Violencia familiar,Talleres de prevención,Blanco,CEM,No,-
109,2021,0-5,Puno,Marzo,Violencia doméstica,Atención psicológica,Indígena amazónico,Línea 100,Sí,Cerrada
110,2021,25-34,Junín,Enero,Agresión sexual,Programas de educación indígena,Quechua,Comisaria,Sí,En proceso
111,2019,18-24,Lima,Abril,Violencia de género,Talleres de prevención,Afrodescendiente,Línea 100,Sí,En proceso
112,2019,55 o más,Madre de Dios,Agosto,Violencia de pareja,Asesoramiento legal,Mestizo,Línea 100,Sí,Pendiente
113,2018,35-44,Junín,Julio,Violencia de género,Campañas de sensibilización,Blanco,Línea 100,No,-
114,2022,6-11,Ica,Septiembre,Violencia de pareja,Talleres de prevención,Blanco,Centro de Salud,No,-
115,2021,0-5,Puno,Septiembre,Violencia de género,Campañas de sensibilización,Mestizo,Comisaria,Sí,En investigación
116,2022,35-44,Lima,Diciembre,Violencia de pareja,Atención psicológica,Indígena amazónico,Centro de Salud,Sí,En investigación
117,2018,0-5,Huanuco,Septiembre,Violencia de pareja,Campañas de sensibilización,Afrodescendiente,Centro de Salud,Sí,Pendiente
118,2022,18-24,Ucayali,Junio,Violencia familiar,Asesoramiento legal,Mestizo,Línea 100,Sí,En investigación
119,2020,55 o más,Madre de Dios,Enero,Violencia de pareja,Atención psicológica,Mestizo,CEM,Sí,En investigación
120,2021,0-5,Lima,Mayo,Violencia doméstica,Atención psicológica,Indígena amazónico,CEM,No,-
121,2021,55 o más,La Libertad,Junio,Violencia de género,Atención psicológica,Blanco,CEM,Sí,Cerrada
122,2022,0-5,Moquegua,Diciembre,Violencia doméstica,Programas de educación indígena,Blanco,Centro de Salud,No,-
123,2023,12-17,Puno,Junio,Violencia de pareja,Atención psicológica,Afrodescendiente,CEM,Sí,Cerrada
124,2020,6-11,La Libertad,Julio,Violencia de pareja,Programas de educación indígena,Blanco,Comisaria,No,-
125,2020,12-17,Huancavelica,Agosto,Violencia doméstica,Asesoramiento legal,Mestizo,Comisaria,Sí,Pendiente
126,2021,18-24,La Libertad,Enero,Violencia de pareja,Programas de educación indígena,Blanco,CEM,No,-
127,2021,35-44,Huanuco,Enero,Violencia familiar,Atención psicológica,Indígena amazónico,Comisaria,No,-
128,2023,25-34,Madre de Dios,Abril,Violencia familiar,Atención psicológica,Quechua,Comisaria,Sí,Cerrada
129,2020,35-44,Huancavelica,Septiembre,Violencia doméstica,Asesoramiento legal,Quechua,CEM,No,-
130,2022,18-24,Ucayali,Febrero,Agresión sexual,Atención psicológica,Afrodescendiente,Centro de Salud,No,-
131,2022,25-34,Ancash,Enero,Violencia de pareja,Asesoramiento legal,Quechua,Centro de Salud,Sí,En investigación
132,2021,25-34,Callao,Mayo,Violencia doméstica,Asesoramiento legal,Quechua,Centro de Salud,Sí,En proceso
133,2022,55 o más,Puno,Octubre,Violencia de género,Asesoramiento legal,Blanco,CEM,Sí,Pendiente
134,2019,6-11,Madre de Dios,Septiembre,Violencia de pareja,Programas de educación indígena,Quechua,CEM,No,-
135,2018,0-5,Cusco,Febrero,Violencia de género,Programas de educación indígena,Mestizo,Centro de Salud,No,-
136,2020,55 o más,Ancash,Enero,Violencia doméstica,Campañas de sensibilización,Afrodescendiente,CEM,Sí,Cerrada
137,2018,18-24,La Libertad,Agosto,Violencia de pareja,Atención psicológica,Blanco,Línea 100,Sí,En proceso
138,2020,6-11,Lima,Diciembre,Agresión sexual,Campañas de sensibilización,Indígena amazónico,Centro de Salud,Sí,Cerrada
139,2018,55 o más,Puno,Febrero,Violencia familiar,Talleres de prevención,Mestizo,Comisaria,No,-
140,2021,0-5,Tumbes,Febrero,Agresión sexual,Atención psicológica,Afrodescendiente,Comisaria,No,-
141,2019,12-17,Amazonas,Abril,Violencia de pareja,Asesoramiento legal,Quechua,Línea 100,Sí,En investigación
142,2018,12-17,Apurimac,Junio,Violencia de pareja,Campañas de sensibilización,Blanco,Línea 100,Sí,En proceso
143,2021,55 o más,Ica,Julio,Violencia doméstica,Talleres de prevención,Indígena amazónico,CEM,No,-
144,2023,35-44,Huancavelica,Julio,Violencia familiar,Asesoramiento legal,Indígena amazónico,Comisaria,No,-
145,2022,0-5,Amazonas,Febrero,Violencia familiar,Asesoramiento legal,Blanco,Comisaria,Sí,Pendiente
146,2019,35-44,Pasco,Septiembre,Violencia de género,Campañas de sensibilización,Mestizo,Centro de Salud,No,-
147,2021,45-54,Madre de Dios,Julio,Violencia de género,Asesoramiento legal,Afrodescendiente,Comisaria,Sí,En investigación
148,2021,55 o más,Ayacucho,Agosto,Violencia de género,Asesoramiento legal,Blanco,Línea 100,Sí,En investigación
149,2020,18-24,Puno,Junio,Violencia familiar,Campañas de sensibilización,Mestizo,CEM,Sí,En proceso
150,2020,18-24,Callao,Agosto,Violencia familiar,Programas de educación indígena,Quechua,Línea 100,No,-
151,2019,18-24,Loreto,Octubre,Violencia doméstica,Atención psicológica,Quechua,Línea 100,No,-
152,2018,6-11,Lima,Enero,Violencia doméstica,Campañas de sensibilización,Mestizo,Centro de Salud,No,-
153,2023,45-54,Junín,Diciembre,Violencia de género,Atención psicológica,Afrodescendiente,Comisaria,Sí,En proceso
154,2021,35-44,Tacna,Enero,Violencia doméstica,Talleres de prevención,Mestizo,CEM,Sí,En proceso
155,2021,55 o más,Tumbes,Septiembre,Agresión sexual,Programas de educación indígena,Blanco,CEM,Sí,Cerrada
156,2020,18-24,Huancavelica,Agosto,Violencia de género,Campañas de sensibilización,Blanco,Línea 100,Sí,En proceso
157,2018,0-5,Tumbes,Marzo,Violencia de pareja,Campañas de sensibilización,Quechua,Línea 100,No,-
158,2023,6-11,La Libertad,Julio,Violencia familiar,Programas de educación indígena,Mestizo,CEM,No,-
159,2020,0-5,Moquegua,Diciembre,Violencia doméstica,Talleres de prevención,Quechua,Comisaria,Sí,En investigación
160,2018,18-24,Moquegua,Diciembre,Violencia de pareja,Asesoramiento legal,Indígena amazónico,CEM,No,-
161,2021,6-11,Ucayali,Mayo,Violencia de género,Asesoramiento legal,Indígena amazónico,Centro de Salud,No,-
162,2018,18-24,Pasco,Julio,Violencia de género,Programas de educación indígena,Blanco,Línea 100,No,-
163,2019,45-54,Madre de Dios,Abril,Agresión sexual,Programas de educación indígena,Blanco,Comisaria,Sí,En proceso
164,2023,45-54,Huancavelica,Febrero,Violencia doméstica,Asesoramiento legal,Blanco,Línea 100,No,-
165,2019,18-24,Piura,Agosto,Agresión sexual,Asesoramiento legal,Quechua,Comisaria,No,-
166,2021,45-54,Moquegua,Mayo,Violencia doméstica,Programas de educación indígena,Blanco,Centro de Salud,No,-
167,2018,6-11,Loreto,Julio,Violencia de pareja,Atención psicológica,Indígena amazónico,Comisaria,Sí,Pendiente
168,2019,45-54,Arequipa,Julio,Violencia de pareja,Asesoramiento legal,Mestizo,Centro de Salud,No,-
169,2018,25-34,Cusco,Abril,Violencia de género,Campañas de sensibilización,Quechua,CEM,Sí,En investigación
170,2019,6-11,Ayacucho,Febrero,Violencia de pareja,Programas de educación indígena,Quechua,Centro de Salud,No,-
171,2019,45-54,Cusco,Agosto,Agresión sexual,Atención psicológica,Blanco,Línea 100,No,-
172,2018,12-17,Ancash,Junio,Violencia doméstica,Talleres de prevención,Mestizo,CEM,No,-
173,2021,6-11,Tumbes,Septiembre,Violencia de género,Programas de educación indígena,Quechua,Comisaria,Sí,En proceso
174,2018,25-34,Cajamarca,Noviembre,Violencia de género,Programas de educación indígena,Indígena amazónico,Línea 100,Sí,Pendiente
175,2019,25-34,Cusco,Agosto,Violencia de género,Campañas de sensibilización,Afrodescendiente,Centro de Salud,Sí,Cerrada
176,2019,6-11,La Libertad,Enero,Violencia familiar,Campañas de sensibilización,Afrodescendiente,Comisaria,No,-
177,2022,12-17,La Libertad,Diciembre,Violencia de pareja,Programas de educación indígena,Blanco,Línea 100,No,-
178,2019,45-54,Loreto,Marzo,Violencia doméstica,Atención psicológica,Blanco,CEM,No,-
179,2022,45-54,Callao,Febrero,Agresión sexual,Asesoramiento legal,Indígena amazónico,CEM,Sí,Cerrada
180,2023,55 o más,Moquegua,Febrero,Violencia de género,Talleres de prevención,Blanco,Comisaria,No,-
181,2018,45-54,Huancavelica,Junio,Agresión sexual,Programas de educación indígena,Blanco,Línea 100,Sí,Pendiente
182,2020,25-34,Arequipa,Enero,Violencia familiar,Talleres de prevención,Afrodescendiente,Centro de Salud,Sí,En proceso
183,2022,12-17,Madre de Dios,Septiembre,Violencia familiar,Campañas de sensibilización,Afrodescendiente,Línea 100,No,-
184,2021,35-44,Arequipa,Junio,Violencia de pareja,Asesoramiento legal,Afrodescendiente,CEM,No,-
185,2023,6-11,Huanuco,Enero,Violencia de pareja,Campañas de sensibilización,Indígena amazónico,Comisaria,No,-
186,2018,6-11,Amazonas,Enero,Agresión sexual,Asesoramiento legal,Mestizo,CEM,No,-
187,2018,12-17,Apurimac,Octubre,Violencia de género,Atención psicológica,Blanco,Centro de Salud,No,-
188,2019,45-54,Ancash,Marzo,Violencia de género,Campañas de sensibilización,Indígena amazónico,CEM,No,-
189,2022,55 o más,Tumbes,Noviembre,Violencia doméstica,Talleres de prevención,Mestizo,Comisaria,Sí,En proceso
190,2019,35-44,Cajamarca,Agosto,Violencia de género,Atención psicológica,Indígena amazónico,Comisaria,No,-
191,2020,0-5,Ucayali,Noviembre,Violencia familiar,Talleres de prevención,Indígena amazónico,Línea 100,Sí,Pendiente
192,2019,55 o más,Callao,Junio,Agresión sexual,Atención psicológica,Afrodescendiente,CEM,Sí,En investigación
193,2019,35-44,Madre de Dios,Agosto,Violencia de género,Asesoramiento legal,Quechua,CEM,No,-
194,2022,0-5,Huanuco,Octubre,Violencia de género,Asesoramiento legal,Blanco,Centro de Salud,Sí,En proceso
195,2023,45-54,Tumbes,Mayo,Violencia doméstica,Programas de educación indígena,Afrodescendiente,Comisaria,Sí,Pendiente
196,2021,45-54,Huancavelica,Agosto,Violencia doméstica,Asesoramiento legal,Indígena amazónico,Línea 100,Sí,Cerrada
197,2019,55 o más,La Libertad,Marzo,Violencia de pareja,Talleres de prevención,Mestizo,Línea 100,Sí,En proceso
198,2018,35-44,Apurimac,Junio,Violencia de pareja,Talleres de prevención,Indígena amazónico,Centro de Salud,No,-
199,2023,35-44,Arequipa,Enero,Agresión sexual,Talleres de prevención,Quechua,CEM,Sí,En investigación
200,2023,6-11,Junín,Enero,Violencia de género,Campañas de sensibilización,Afrodescendiente,CEM,Sí,Cerrada
201,2020,6-11,Loreto,Diciembre,Violencia doméstica,Campañas de sensibilización,Indígena amazónico,CEM,No,-
202,2021,18-24,Loreto,Noviembre,Violencia de pareja,Asesoramiento legal,Afrodescendiente,Comisaria,No,-
203,2021,25-34,Cajamarca,Diciembre,Violencia familiar,Programas de educación indígena,Quechua,Comisaria,No,-
204,2022,18-24,Madre de Dios,Septiembre,Violencia familiar,Talleres de prevención,Mestizo,Línea 100,No,-
205,2021,0-5,Lima,Noviembre,Agresión sexual,Asesoramiento legal,Mestizo,CEM,No,-
206,2023,18-24,Apurimac,Agosto,Violencia doméstica,Campañas de sensibilización,Afrodescendiente,CEM,No,-
207,2023,45-54,Ica,Julio,Violencia doméstica,Atención psicológica,Quechua,Comisaria,No,-
208,2019,12-17,Arequipa,Abril,Agresión sexual,Atención psicológica,Quechua,Centro de Salud,No,-
209,2019,25-34,Puno,Diciembre,Violencia doméstica,Talleres de prevención,Mestizo,Línea 100,Sí,En proceso
210,2022,0-5,Piura,Abril,Violencia doméstica,Asesoramiento legal,Afrodescendiente,CEM,Sí,Cerrada
211,2021,35-44,Piura,Marzo,Agresión sexual,Programas de educación indígena,Indígena amazónico,Comisaria,Sí,Pendiente
212,2022,6-11,Lima,Mayo,Violencia de género,Asesoramiento legal,Indígena amazónico,Línea 100,No,-
213,2020,0-5,Huanuco,Abril,Violencia de pareja,Programas de educación indígena,Afrodescendiente,Comisaria,No,-
214,2022,18-24,Loreto,Febrero,Violencia de pareja,Atención psicológica,Afrodescendiente,Línea 100,No,-
215,2023,25-34,Lima,Marzo,Violencia familiar,Campañas de sensibilización,Indígena amazónico,CEM,No,-
216,2022,6-11,Cajamarca,Abril,Violencia de género,Campañas de sensibilización,Quechua,Línea 100,No,-
217,2023,6-11,Amazonas,Septiembre,Violencia familiar,Atención psicológica,Indígena amazónico,CEM,Sí,Pendiente
218,2022,55 o más,Pasco,Marzo,Agresión sexual,Programas de educación indígena,Mestizo,Centro de Salud,No,-
219,2020,45-54,Junín,Marzo,Violencia doméstica,Asesoramiento legal,Mestizo,Centro de Salud,Sí,Cerrada
220,2023,25-34,Lambayeque,Diciembre,Agresión sexual,Talleres de prevención,Mestizo,CEM,No,-
221,2020,12-17,Moquegua,Abril,Violencia de género,Campañas de sensibilización,Afrodescendiente,Línea 100,No,-
222,2020,25-34,La Libertad,Enero,Violencia familiar,Asesoramiento legal,Quechua,CEM,Sí,Cerrada
223,2021,35-44,Junín,Octubre,Violencia doméstica,Campañas de sensibilización,Indígena amazónico,Centro de Salud,No,-
224,2021,45-54,Ayacucho,Septiembre,Violencia doméstica,Asesoramiento legal,Indígena amazónico,Centro de Salud,Sí,Pendiente
225,2023,6-11,Puno,Diciembre,Agresión sexual,Talleres de prevención,Afrodescendiente,Centro de Salud,No,-
226,2021,25-34,Ucayali,Noviembre,Agresión sexual,Atención psicológica,Mestizo,Comisaria,Sí,En proceso
227,2021,12-17,San Martín,Febrero,Violencia doméstica,Programas de educación indígena,Quechua,Centro de Salud,Sí,Cerrada
228,2020,0-5,Tumbes,Septiembre,Violencia familiar,Campañas de sensibilización,Indígena amazónico,Centro de Salud,No,-
229,2023,25-34,Tacna,Marzo,Violencia doméstica,Asesoramiento legal,Mestizo,Comisaria,No,-
230,2019,45-54,San Martín,Mayo,Violencia doméstica,Talleres de prevención,Quechua,Centro de Salud,Sí,En proceso
231,2020,25-34,Pasco,Abril,Violencia doméstica,Programas de educación indígena,Blanco,CEM,No,-
232,2021,55 o más,Moquegua,Diciembre,Violencia familiar,Campañas de sensibilización,Indígena amazónico,Línea 100,Sí,Cerrada
233,2021,35-44,Puno,Noviembre,Violencia de género,Atención psicológica,Mestizo,CEM,No,-
234,2021,55 o más,Tumbes,Septiembre,Violencia familiar,Atención psicológica,Indígena amazónico,Comisaria,No,-
235,2020,6-11,Loreto,Octubre,Agresión sexual,Campañas de sensibilización,Blanco,CEM,No,-
236,2019,45-54,Amazonas,Marzo,Violencia doméstica,Asesoramiento legal,Mestizo,Centro de Salud,Sí,En proceso
237,2021,0-5,Ica,Marzo,Violencia doméstica,Campañas de sensibilización,Quechua,Centro de Salud,Sí,Cerrada
238,2019,45-54,Moquegua,Enero,Violencia familiar,Programas de educación indígena,Quechua,CEM,Sí,En proceso
239,2020,0-5,Junín,Octubre,Agresión sexual,Programas de educación indígena,Quechua,Línea 100,Sí,Cerrada
240,2023,55 o más,Moquegua,Julio,Violencia de pareja,Talleres de prevención,Blanco,Centro de Salud,No,-
241,2020,55 o más,Junín,Febrero,Violencia familiar,Campañas de sensibilización,Afrodescendiente,Línea 100,No,-
242,2023,0-5,Arequipa,Enero,Violencia familiar,Talleres de prevención,Quechua,Centro de Salud,Sí,Pendiente
243,2022,55 o más,Callao,Noviembre,Violencia doméstica,Talleres de prevención,Mestizo,Centro de Salud,Sí,Cerrada
